Precio,Distrito,Tipo,Habitaciones,Aseos,Superficie,Planta,Parking,URL
179500,Villaverde,Piso,2,1,65,2,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-trastero/159293980/d
195000,Chamberí,Piso,3,2,89,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/157859269/d
450000,Salamanca,Piso,2,2,92,2,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor/159375257/d
275000,Latina,Piso,2,1,55,5,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/159374926/d
795000,Salamanca,Casa o chalet,3,3,215,2,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-parking-se-aceptan-mascotas-no-amueblado/159371514/d
1150000,Carabanchel,Ático,3,1,133,6,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-no-amueblado/159370906/d
207900,Villa de Vallecas,Piso,3,2,88,1,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-trastero-ascensor/158927744/d
322000,San Blas,Piso,2,2,87,2,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking-trastero-ascensor-piscina/158822354/d
1180000,Ciudad Lineal,Piso,5,4,343,1,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking-ascensor-piscina/158638479/d
650000,Ciudad Lineal,Piso,3,3,159,3,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor/157505829/d
289000,Fuencarral,Piso,2,1,90,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-trastero-ascensor-piscina/159337902/d
480000,Chamartín,Piso,3,2,97,4,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-ascensor-parking/158846985/d
153500,Fuencarral,Piso,3,1,65,1,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion/158321618/d
750000,Moncloa,Piso,4,3,170,5,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-parking-terraza-ascensor-piscina-piscina/159359871/d
1975000,Villaverde,Casa o chalet,6,3,1180,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-jardin-piscina/159359623/d
99000,San Blas,Piso,2,1,65,1,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion/158659283/d
